timestamp,symbol,end,start,previousClose,chartPreviousClose,dataGranularity,close
1467345600,^IXIC,,,,4800.34,300,5162.13
1470024000,^IXIC,,,,4800.34,300,5213.22
1472702400,^IXIC,,,,4800.34,300,5312.0
1475294400,^IXIC,,,,4800.34,300,5189.14
1477972800,^IXIC,,,,4800.34,300,5323.68
1480568400,^IXIC,,,,4800.34,300,5383.12
1483246800,^IXIC,,,,4800.34,300,5614.79
1485925200,^IXIC,,,,4800.34,300,5825.44
1488344400,^IXIC,,,,4800.34,300,5911.74
1491019200,^IXIC,,,,4800.34,300,6047.61
1493611200,^IXIC,,,,4800.34,300,6198.52
1496289600,^IXIC,,,,4800.34,300,6140.42
1498881600,^IXIC,,,,4800.34,300,6348.12
1501560000,^IXIC,,,,4800.34,300,6428.66
1504238400,^IXIC,,,,4800.34,300,6495.96
1506830400,^IXIC,,,,4800.34,300,6727.67
1509508800,^IXIC,,,,4800.34,300,6873.97
1512104400,^IXIC,,,,4800.34,300,6903.39
1514782800,^IXIC,,,,4800.34,300,7411.48
1517461200,^IXIC,,,,4800.34,300,7273.01
1519880400,^IXIC,,,,4800.34,300,7063.45
1522555200,^IXIC,,,,4800.34,300,7066.27
1525147200,^IXIC,,,,4800.34,300,7442.12
1527825600,^IXIC,,,,4800.34,300,7510.3
1530417600,^IXIC,,,,4800.34,300,7671.79
1533096000,^IXIC,,,,4800.34,300,8109.54
1535774400,^IXIC,,,,4800.34,300,8046.35
1538366400,^IXIC,,,,4800.34,300,7305.9
1541044800,^IXIC,,,,4800.34,300,7330.54
1543640400,^IXIC,,,,4800.34,300,6635.28
1546318800,^IXIC,,,,4800.34,300,7281.74
1548997200,^IXIC,,,,4800.34,300,7532.53
1551416400,^IXIC,,,,4800.34,300,7729.32
1554091200,^IXIC,,,,4800.34,300,8095.39
1556683200,^IXIC,,,,4800.34,300,7453.15
1559361600,^IXIC,,,,4800.34,300,8006.24
1561953600,^IXIC,,,,4800.34,300,8175.42
1564632000,^IXIC,,,,4800.34,300,7962.88
1567310400,^IXIC,,,,4800.34,300,7999.34
1569902400,^IXIC,,,,4800.34,300,8292.36
1572580800,^IXIC,,,,4800.34,300,8665.47
1575176400,^IXIC,,,,4800.34,300,8972.6
1577854800,^IXIC,,,,4800.34,300,9150.94
1580533200,^IXIC,,,,4800.34,300,8567.37
1583038800,^IXIC,,,,4800.34,300,7700.1
1585713600,^IXIC,,,,4800.34,300,8889.55
1588305600,^IXIC,,,,4800.34,300,9489.87
1590984000,^IXIC,,,,4800.34,300,10058.77
1593576000,^IXIC,,,,4800.34,300,10745.27
1596254400,^IXIC,,,,4800.34,300,11775.46
1598932800,^IXIC,,,,4800.34,300,11167.51
1601524800,^IXIC,,,,4800.34,300,10911.59
1604203200,^IXIC,,,,4800.34,300,12198.74
1606798800,^IXIC,,,,4800.34,300,12888.28
1609477200,^IXIC,,,,4800.34,300,13070.69
1612155600,^IXIC,,,,4800.34,300,13192.35
1614574800,^IXIC,,,,4800.34,300,13246.87
1617249600,^IXIC,,,,4800.34,300,13962.68
1619841600,^IXIC,,,,4800.34,300,13748.74
1622520000,^IXIC,,,,4800.34,300,14503.95
1625112000,^IXIC,,,,4800.34,300,14672.68
1627790400,^IXIC,,,,4800.34,300,15259.24
1630468800,^IXIC,,,,4800.34,300,14448.58
1633060800,^IXIC,,,,4800.34,300,15498.39
1635739200,^IXIC,,,,4800.34,300,15537.69
1638334800,^IXIC,,,,4800.34,300,15644.97
1641013200,^IXIC,,,,4800.34,300,14239.88
1643691600,^IXIC,,,,4800.34,300,13751.4
1646110800,^IXIC,,,,4800.34,300,14220.52
1648785600,^IXIC,,,,4800.34,300,12334.64
1651377600,^IXIC,,,,4800.34,300,12081.39
1654056000,^IXIC,,,,4800.34,300,10798.35
1655500559,^IXIC,,,,4800.34,300,10798.35
