timestamp,previousClose,chartPreviousClose,symbol,end,start,dataGranularity,close
1467331200,,2.3802857,XCP-USD,,,300,2.46413
1470009600,,2.3802857,XCP-USD,,,300,3.57193
1472688000,,2.3802857,XCP-USD,,,300,4.22222
1475280000,,2.3802857,XCP-USD,,,300,2.89244
1477958400,,2.3802857,XCP-USD,,,300,2.26947
1480550400,,2.3802857,XCP-USD,,,300,1.71873
1483228800,,2.3802857,XCP-USD,,,300,2.91565
1485907200,,2.3802857,XCP-USD,,,300,3.30725
1488326400,,2.3802857,XCP-USD,,,300,3.53686
1491004800,,2.3802857,XCP-USD,,,300,4.62947
1493596800,,2.3802857,XCP-USD,,,300,13.4923
1496275200,,2.3802857,XCP-USD,,,300,12.6217
1498867200,,2.3802857,XCP-USD,,,300,8.48234
1501545600,,2.3802857,XCP-USD,,,300,14.9036
1504224000,,2.3802857,XCP-USD,,,300,11.5705
1506816000,,2.3802857,XCP-USD,,,300,9.57962
1509494400,,2.3802857,XCP-USD,,,300,21.4973
1512086400,,2.3802857,XCP-USD,,,300,32.8636
1514764800,,2.3802857,XCP-USD,,,300,43.1616
1517443200,,2.3802857,XCP-USD,,,300,21.9446
1519862400,,2.3802857,XCP-USD,,,300,10.4279
1522540800,,2.3802857,XCP-USD,,,300,19.858
1525132800,,2.3802857,XCP-USD,,,300,11.6984
1527811200,,2.3802857,XCP-USD,,,300,7.47809
1530403200,,2.3802857,XCP-USD,,,300,6.15492
1533081600,,2.3802857,XCP-USD,,,300,5.53742
1535760000,,2.3802857,XCP-USD,,,300,3.37019
1538352000,,2.3802857,XCP-USD,,,300,3.0978
1541030400,,2.3802857,XCP-USD,,,300,2.68073
1543622400,,2.3802857,XCP-USD,,,300,2.101368
1546300800,,2.3802857,XCP-USD,,,300,1.703648
1548979200,,2.3802857,XCP-USD,,,300,1.73245
1551398400,,2.3802857,XCP-USD,,,300,2.193564
1554076800,,2.3802857,XCP-USD,,,300,2.186673
1556668800,,2.3802857,XCP-USD,,,300,0.643554
1559347200,,2.3802857,XCP-USD,,,300,3.229579
1561939200,,2.3802857,XCP-USD,,,300,2.067309
1564617600,,2.3802857,XCP-USD,,,300,1.994443
1567296000,,2.3802857,XCP-USD,,,300,1.785907
1569888000,,2.3802857,XCP-USD,,,300,1.694416
1572566400,,2.3802857,XCP-USD,,,300,1.461427
1575158400,,2.3802857,XCP-USD,,,300,1.436371
1577836800,,2.3802857,XCP-USD,,,300,1.324794
1580515200,,2.3802857,XCP-USD,,,300,1.757854
1583020800,,2.3802857,XCP-USD,,,300,1.116127
1585699200,,2.3802857,XCP-USD,,,300,0.931012
1588291200,,2.3802857,XCP-USD,,,300,1.035123
1590969600,,2.3802857,XCP-USD,,,300,0.939521
1593561600,,2.3802857,XCP-USD,,,300,1.079942
1596240000,,2.3802857,XCP-USD,,,300,1.273492
1598918400,,2.3802857,XCP-USD,,,300,1.313377
1601510400,,2.3802857,XCP-USD,,,300,1.239302
1604188800,,2.3802857,XCP-USD,,,300,1.267504
1606780800,,2.3802857,XCP-USD,,,300,1.113915
1609459200,,2.3802857,XCP-USD,,,300,1.633433
1612137600,,2.3802857,XCP-USD,,,300,2.323878
1614556800,,2.3802857,XCP-USD,,,300,3.295447
1617235200,,2.3802857,XCP-USD,,,300,3.319897
1619827200,,2.3802857,XCP-USD,,,300,2.256355
1622505600,,2.3802857,XCP-USD,,,300,1.851752
1625097600,,2.3802857,XCP-USD,,,300,3.401435
1627776000,,2.3802857,XCP-USD,,,300,13.535492
1630454400,,2.3802857,XCP-USD,,,300,22.47587
1633046400,,2.3802857,XCP-USD,,,300,20.424583
1635724800,,2.3802857,XCP-USD,,,300,18.251755
1638316800,,2.3802857,XCP-USD,,,300,10.072474
1640995200,,2.3802857,XCP-USD,,,300,9.388038
1643673600,,2.3802857,XCP-USD,,,300,14.913787
1646092800,,2.3802857,XCP-USD,,,300,9.272759
1648771200,,2.3802857,XCP-USD,,,300,7.426236
1651363200,,2.3802857,XCP-USD,,,300,4.894754
1654041600,,2.3802857,XCP-USD,,,300,2.600014
1655637060,,2.3802857,XCP-USD,,,300,2.5320373
