Date_Index,Unnamed: 0,Price_Level
2016-09,15164630,208.30765748066392
2016-10,15165258,741.0599106304646
2016-11,15165886,865.6731081960346
2016-12,15166514,1094.4681371049908
2017-01,15167142,1778.1805384488318
2017-02,15167770,2829.1727485396796
2017-03,15168398,3449.8170869264845
2017-04,15169026,3819.4554421656444
2017-05,15169654,4038.5690716811805
2017-06,15170282,4302.61562577488
2017-07,15170910,6243.352141657304
2017-08,15171538,6139.115661009036
2017-09,15172166,6006.33918520177
2017-10,15172794,6004.488116088437
2017-11,15173422,5884.424276088437
2017-12,15174050,6073.395286079403
2018-01,15174678,6082.616603079403
2018-02,15175306,5898.982486412737
2018-03,15175934,5999.971148295604
2018-04,15176562,6104.570698495603
2018-05,15177190,6102.1569767794035
2018-06,15177818,6102.251826779403
2018-07,15178446,6087.82615712607
2018-08,15179074,6097.112423792737
2018-09,15179702,6097.844123792736
2018-10,15180330,6096.3536237927365
2018-11,15180958,6098.160290459404
2018-12,15181586,6102.225290459403
2019-01,15182214,6102.225290459403
2019-02,15182842,6122.2792904594035
2019-03,15183470,6104.393290459403
2019-04,15184098,6137.902440459403
2019-05,15184726,6186.8360071260695
2019-06,15185354,6204.47810715317
2019-07,15185982,6277.58035715317
2019-08,15186610,6921.593790459403
2019-09,15187238,6942.731790459403
2019-10,15187866,6982.704290459404
2019-11,15188494,7064.652417599404
2019-12,15189122,7053.8124175994035
2020-01,15189750,7097.172417599403
2020-02,15190378,7128.242567599404
2020-03,15191006,7149.922567599403
2020-04,15191634,7380.642974129403
2020-05,15192262,7390.127974129404
2020-06,15192890,7388.772974129403
2020-07,15193518,7402.3229741294035
2020-08,15194146,7442.972974142953
2020-09,15194774,17506.168616002953
2020-10,15195402,17528.833702492953
2020-11,15196030,17667.73488866295
2020-12,15196658,17667.734888662955
2021-01,15197286,17726.058913992954
2021-02,15197914,17826.039552502953
2021-03,15198542,25125.380189750973
2021-04,15199170,35008.022176483995
2021-05,15199798,46144.12165802878
2021-06,15200426,47698.36074877235
2021-07,15201054,78825.0262085804
2021-08,15201682,210704.23127939738
2021-09,15202310,308764.7409456967
2021-10,15202938,343851.43855942297
2021-11,15203566,460541.3050799612
2021-12,15204194,459861.86478553055
2022-01,15204822,496119.657143449
2022-02,15205450,496759.0895632907
2022-03,15206078,492686.1158192192
2022-04,15206706,493747.2175138092
2022-05,15207334,495248.97763089393
