,Date,Volume sold
46,2022-06,8805.077699999996
45,2022-05,17064.294102419997
52,2022-04,28033.56313200999
23,2022-03,95691.16458375183
34,2022-02,120072.72030665998
22,2022-01,258743.69746269283
31,2021-12,44856.01701415099
21,2021-11,620617.5486157737
11,2021-10,370906.8983177478
10,2021-09,1337622.143032087
20,2021-08,1160429.3026622103
9,2021-07,377422.6576864243
19,2021-06,31897.227273370125
28,2021-05,80621.71833149038
18,2021-04,34162.50684523567
8,2021-03,120684.22998686439
66,2021-02,108.24380000000001
63,2021-01,154.3331935
51,2020-11,218.39570912999997
55,2020-10,93.0110702
40,2020-09,11303.431000000002
49,2020-08,114.24000000000001
48,2020-07,59.84
56,2020-05,29.92
50,2020-04,771.222
35,2020-03,38.080000000000005
33,2020-02,45.0432
57,2020-01,103.36
65,2019-11,326.07302183999997
47,2019-10,81.6
44,2019-09,27.200000000000003
39,2019-08,870.4000000000002
30,2019-07,95.2
38,2019-06,171.3872000272
32,2019-05,300.3152
37,2019-04,353.8176000000002
62,2019-03,36.856
54,2019-02,123.76
36,2019-01,163.20000000000002
64,2018-12,10.88
59,2018-11,38.080000000000005
60,2018-10,19.720000000000002
61,2018-09,7.48
17,2018-08,18.677333333333333
58,2018-07,95.55359999999999
43,2018-06,54.590399999999995
7,2018-05,82.3888
6,2018-04,599.6245984000002
42,2018-03,913.4768267552012
53,2018-02,211.13899422560004
26,2018-01,562.4353440000001
16,2017-12,1058.1806400000003
29,2017-11,270.7234133152001
41,2017-10,215.8442400000001
27,2017-09,1418.3630399184005
15,2017-08,1079.4592000000007
5,2017-07,7325.430560000004
4,2017-06,1306.5141920000005
25,2017-05,3025.1716088767994
3,2017-04,3458.960080027201
24,2017-03,3995.9794720271957
14,2017-02,11026.781535999997
13,2017-01,6939.963583972789
2,2016-12,2412.9442683663947
1,2016-11,2200.4787149575645
0,2016-10,7731.0229395152155
12,2016-09,3776.8318464271965
